Fecha,cod_ine,CCAA,Casos,Fallecidos,Hospitalizados,UCI
2020-01-08,02,Aragón,0,0,0,0
2020-01-08,03,Asturias,0,0,0,0
2020-01-08,04,Baleares,0,0,0,0
2020-01-08,05,Canarias,0,0,0,0
2020-01-08,06,Cantabria,0,0,0,0
2020-01-08,07,Castilla y León,0,0,0,0
2020-01-08,08,Castilla La Mancha,0,0,0,0
2020-01-08,09,Cataluña,0,0,1,0
2020-01-08,10,C. Valenciana,0,0,1,0
2020-01-08,11,Extremadura,0,0,0,0
2020-01-08,12,Galicia,0,0,1,0
2020-01-08,13,Madrid,0,0,1,0
2020-01-08,14,Murcia,0,0,0,0
2020-01-08,15,Navarra,0,0,0,0
2020-01-08,16,País Vasco,0,0,0,0
2020-01-08,17,La Rioja,0,0,0,0
2020-01-08,18,Ceuta,0,0,0,0
2020-01-08,19,Melilla,0,0,0,0
2020-01-09,00,No consta,0,0,0,0
2020-01-09,01,Andalucía,0,0,0,0
2020-01-09,02,Aragón,0,0,1,0
2020-01-09,03,Asturias,0,0,0,0
2020-01-09,04,Baleares,0,0,0,0
2020-01-09,05,Canarias,0,0,2,0
2020-01-09,06,Cantabria,0,0,0,0
2020-01-09,07,Castilla y León,0,0,0,0
2020-01-09,08,Castilla La Mancha,0,0,1,0
2020-01-09,09,Cataluña,0,0,2,0
2020-01-09,10,C. Valenciana,0,0,0,0
2020-01-09,11,Extremadura,0,0,0,0
2020-01-09,12,Galicia,0,0,0,0
2020-01-09,13,Madrid,0,0,1,0
2020-01-09,14,Murcia,0,0,1,0
2020-01-09,15,Navarra,0,0,0,0
2020-01-09,16,País Vasco,0,0,0,0
2020-01-09,17,La Rioja,0,0,0,0
2020-01-09,18,Ceuta,0,0,0,0
2020-01-09,19,Melilla,0,0,0,0
2020-01-10,00,No consta,0,0,1,0
2020-01-10,01,Andalucía,0,0,0,0
2020-01-10,02,Aragón,0,0,0,0
2020-01-10,03,Asturias,0,0,0,0
2020-01-10,04,Baleares,0,0,0,0
2020-01-10,05,Canarias,0,0,1,0
2020-01-10,06,Cantabria,0,0,0,0
2020-01-10,07,Castilla y León,0,0,0,0
2020-01-10,08,Castilla La Mancha,0,0,0,0
2020-01-10,09,Cataluña,0,0,4,0
2020-01-10,10,C. Valenciana,0,0,1,0
2020-01-10,11,Extremadura,0,0,0,0
2020-01-10,12,Galicia,0,0,0,0
2020-01-10,13,Madrid,0,0,4,0
2020-01-10,14,Murcia,0,0,0,0
2020-01-10,15,Navarra,0,0,0,0
2020-01-10,16,País Vasco,0,0,0,0
2020-01-10,17,La Rioja,0,0,0,0
2020-01-10,18,Ceuta,0,0,0,0
2020-01-10,19,Melilla,0,0,0,0
2020-01-11,00,No consta,0,0,0,0
2020-01-11,01,Andalucía,0,0,2,0
2020-01-11,02,Aragón,0,0,0,0
2020-01-11,03,Asturias,0,0,0,0
2020-01-11,04,Baleares,0,0,0,0
2020-01-11,05,Canarias,0,0,0,0
2020-01-11,06,Cantabria,0,0,0,0
2020-01-11,07,Castilla y León,0,0,0,0
2020-01-11,08,Castilla La Mancha,0,0,0,0
2020-01-11,09,Cataluña,0,0,0,0
2020-01-11,10,C. Valenciana,0,0,1,0
2020-01-11,11,Extremadura,0,0,0,0
2020-01-11,12,Galicia,0,0,0,1
2020-01-11,13,Madrid,0,0,0,0
2020-01-11,14,Murcia,0,0,0,0
2020-01-11,15,Navarra,0,0,0,0
2020-01-11,16,País Vasco,0,0,0,0
2020-01-11,17,La Rioja,0,0,0,0
2020-01-11,18,Ceuta,0,0,0,0
2020-01-11,19,Melilla,0,0,0,0
2020-01-12,00,No consta,0,0,0,0
2020-01-12,01,Andalucía,0,0,1,0
2020-01-12,02,Aragón,0,0,0,0
2020-01-12,03,Asturias,0,0,0,0
2020-01-12,04,Baleares,0,0,0,0
2020-01-12,05,Canarias,0,0,0,0
2020-01-12,06,Cantabria,0,0,0,0
2020-01-12,07,Castilla y León,0,0,0,0
2020-01-12,08,Castilla La Mancha,0,0,0,0
2020-01-12,09,Cataluña,0,0,0,0
2020-01-12,10,C. Valenciana,0,0,4,0
2020-01-12,11,Extremadura,0,0,0,0
2020-01-12,12,Galicia,0,0,0,0
2020-01-12,13,Madrid,0,0,0,0
2020-01-12,14,Murcia,0,0,0,0
2020-01-12,15,Navarra,0,0,1,0
2020-01-12,16,País Vasco,0,0,0,0
2020-01-12,17,La Rioja,0,0,0,0
2020-01-12,18,Ceuta,0,0,0,0
2020-01-12,19,Melilla,0,0,0,0
2020-01-13,00,No consta,0,0,0,0
2020-01-13,01,Andalucía,0,0,1,0
2020-01-13,02,Aragón,0,0,0,0
2020-01-13,03,Asturias,0,0,0,0
2020-01-13,04,Baleares,0,0,0,0
2020-01-13,05,Canarias,0,0,0,0
2020-01-13,06,Cantabria,0,0,0,0
2020-01-13,07,Castilla y León,0,0,0,0
2020-01-13,08,Castilla La Mancha,0,0,0,0
2020-01-13,09,Cataluña,0,0,0,0
2020-01-13,10,C. Valenciana,0,0,4,0
2020-01-13,11,Extremadura,0,0,0,0
2020-01-13,12,Galicia,0,0,0,0
2020-01-13,13,Madrid,0,0,2,0
2020-01-13,14,Murcia,0,0,0,0
2020-01-13,15,Navarra,0,0,0,0
2020-01-13,16,País Vasco,0,0,1,0
2020-01-13,17,La Rioja,0,0,0,0
2020-01-13,18,Ceuta,0,0,0,0
2020-01-13,19,Melilla,0,0,0,0
2020-01-14,00,No consta,0,0,0,0
2020-01-14,01,Andalucía,0,0,1,0
2020-01-14,02,Aragón,0,0,0,0
2020-01-14,03,Asturias,0,0,0,0
2020-01-14,04,Baleares,0,0,0,0
2020-01-14,05,Canarias,0,0,0,0
2020-01-14,06,Cantabria,0,0,0,0
2020-01-14,07,Castilla y León,0,0,0,0
2020-01-14,08,Castilla La Mancha,0,0,0,0
2020-01-14,09,Cataluña,0,0,2,1
2020-01-14,10,C. Valenciana,0,0,1,0
2020-01-14,11,Extremadura,0,0,0,0
2020-01-14,12,Galicia,0,0,0,0
2020-01-14,13,Madrid,0,0,6,0
2020-01-14,14,Murcia,0,0,0,0
2020-01-14,15,Navarra,0,0,0,0
2020-01-14,16,País Vasco,0,0,0,0
2020-01-14,17,La Rioja,0,0,0,0
2020-01-14,18,Ceuta,0,0,0,0
2020-01-14,19,Melilla,0,0,0,0
2020-01-15,00,No consta,0,0,0,0
2020-01-15,01,Andalucía,0,0,1,0
2020-01-15,02,Aragón,0,0,0,0
2020-01-15,03,Asturias,0,0,0,0
2020-01-15,04,Baleares,0,0,0,0
2020-01-15,05,Canarias,0,0,1,0
2020-01-15,06,Cantabria,0,0,0,0
2020-01-15,07,Castilla y León,0,0,0,0
2020-01-15,08,Castilla La Mancha,0,0,0,0
2020-01-15,09,Cataluña,0,0,3,0
2020-01-15,10,C. Valenciana,0,0,0,0
2020-01-15,11,Extremadura,0,0,0,0
2020-01-15,12,Galicia,0,0,0,0
2020-01-15,13,Madrid,0,0,6,1
2020-01-15,14,Murcia,0,0,0,0
2020-01-15,15,Navarra,0,0,0,0
2020-01-15,16,País Vasco,0,0,0,0
2020-01-15,17,La Rioja,0,0,0,0
2020-01-15,18,Ceuta,0,0,0,0
2020-01-15,19,Melilla,0,0,0,0
2020-01-16,00,No consta,0,0,1,0
2020-01-16,01,Andalucía,0,0,0,0
2020-01-16,02,Aragón,0,0,0,0
2020-01-16,03,Asturias,0,0,0,0
2020-01-16,04,Baleares,0,0,0,0
2020-01-16,05,Canarias,0,0,0,0
2020-01-16,06,Cantabria,0,0,0,0
2020-01-16,07,Castilla y León,0,0,1,0
2020-01-16,08,Castilla La Mancha,0,0,0,0
2020-01-16,09,Cataluña,0,0,0,0
2020-01-16,10,C. Valenciana,0,0,0,0
2020-01-16,11,Extremadura,0,0,0,0
2020-01-16,12,Galicia,0,0,0,0
2020-01-16,13,Madrid,0,0,4,0
2020-01-16,14,Murcia,0,0,0,0
2020-01-16,15,Navarra,0,0,0,0
2020-01-16,16,País Vasco,0,0,1,0
2020-01-16,17,La Rioja,0,0,0,0
2020-01-16,18,Ceuta,0,0,0,0
2020-01-16,19,Melilla,0,0,0,0
2020-01-17,00,No consta,0,0,1,0
2020-01-17,01,Andalucía,0,0,0,0
2020-01-17,02,Aragón,0,0,0,0
2020-01-17,03,Asturias,0,0,0,0
2020-01-17,04,Baleares,0,0,0,0
2020-01-17,05,Canarias,0,0,0,0
2020-01-17,06,Cantabria,0,0,0,0
2020-01-17,07,Castilla y León,0,0,0,0
2020-01-17,08,Castilla La Mancha,0,0,0,0
2020-01-17,09,Cataluña,0,0,1,0
2020-01-17,10,C. Valenciana,0,0,0,0
2020-01-17,11,Extremadura,0,0,0,0
2020-01-17,12,Galicia,0,0,0,0
2020-01-17,13,Madrid,0,0,3,0
2020-01-17,14,Murcia,0,0,0,0
2020-01-17,15,Navarra,0,0,0,0
2020-01-17,16,País Vasco,0,0,0,0
2020-01-17,17,La Rioja,0,0,0,0
2020-01-17,18,Ceuta,0,0,0,0
2020-01-17,19,Melilla,0,0,0,0
2020-01-18,00,No consta,0,0,0,0
2020-01-18,01,Andalucía,0,0,0,0
2020-01-18,02,Aragón,0,0,0,0
2020-01-18,03,Asturias,0,0,0,0
2020-01-18,04,Baleares,0,0,0,0
2020-01-18,05,Canarias,0,0,0,0
2020-01-18,06,Cantabria,0,0,0,0
2020-01-18,07,Castilla y León,0,0,0,0
2020-01-18,08,Castilla La Mancha,0,0,0,0
2020-01-18,09,Cataluña,0,0,0,0
2020-01-18,10,C. Valenciana,0,0,1,0
2020-01-18,11,Extremadura,0,0,0,0
2020-01-18,12,Galicia,0,0,1,0
2020-01-18,13,Madrid,1,0,4,0
2020-01-18,14,Murcia,0,0,0,0
2020-01-18,15,Navarra,0,0,0,0
2020-01-18,16,País Vasco,0,0,0,0
2020-01-18,17,La Rioja,0,0,0,0
2020-01-18,18,Ceuta,0,0,0,0
2020-01-18,19,Melilla,0,0,0,0
2020-01-19,00,No consta,0,0,0,0
2020-01-19,01,Andalucía,0,0,1,0
2020-01-19,02,Aragón,0,0,0,0
2020-01-19,03,Asturias,0,0,0,0
2020-01-19,04,Baleares,0,0,0,0
2020-01-19,05,Canarias,0,0,0,0
2020-01-19,06,Cantabria,0,0,0,0
2020-01-19,07,Castilla y León,0,0,0,0
2020-01-19,08,Castilla La Mancha,0,0,0,0
2020-01-19,09,Cataluña,0,0,1,0
2020-01-19,10,C. Valenciana,0,0,2,0
2020-01-19,11,Extremadura,0,0,0,0
2020-01-19,12,Galicia,0,0,1,1
2020-01-19,13,Madrid,0,0,0,0
2020-01-19,14,Murcia,0,0,0,0
2020-01-19,15,Navarra,0,0,0,0
2020-01-19,16,País Vasco,0,0,0,0
2020-01-19,17,La Rioja,0,0,0,0
2020-01-19,18,Ceuta,0,0,0,0
2020-01-19,19,Melilla,0,0,0,0
2020-01-20,00,No consta,0,0,2,0
2020-01-20,01,Andalucía,0,0,0,0
2020-01-20,02,Aragón,0,0,0,0
2020-01-20,03,Asturias,0,0,1,0
2020-01-20,04,Baleares,0,0,0,0
2020-01-20,05,Canarias,0,0,1,0
2020-01-20,06,Cantabria,0,0,0,0
2020-01-20,07,Castilla y León,0,0,0,0
2020-01-20,08,Castilla La Mancha,0,0,0,0
2020-01-20,09,Cataluña,0,0,4,0
2020-01-20,10,C. Valenciana,0,0,1,0
2020-01-20,11,Extremadura,0,0,0,0
2020-01-20,12,Galicia,0,0,0,0
2020-01-20,13,Madrid,0,0,1,0
2020-01-20,14,Murcia,0,0,0,0
2020-01-20,15,Navarra,0,0,1,0
2020-01-20,16,País Vasco,0,0,0,0
2020-01-20,17,La Rioja,0,0,0,0
2020-01-20,18,Ceuta,0,0,0,0
2020-01-20,19,Melilla,0,0,0,0
2020-01-21,00,No consta,0,0,1,0
2020-01-21,01,Andalucía,0,0,4,0
2020-01-21,02,Aragón,0,0,0,0
2020-01-21,03,Asturias,0,0,0,0
2020-01-21,04,Baleares,0,0,0,0
2020-01-21,05,Canarias,0,0,2,0
2020-01-21,06,Cantabria,0,0,0,0
2020-01-21,07,Castilla y León,0,0,0,0
2020-01-21,08,Castilla La Mancha,0,0,0,0
2020-01-21,09,Cataluña,0,0,2,1
2020-01-21,10,C. Valenciana,0,0,0,0
2020-01-21,11,Extremadura,0,0,0,0
2020-01-21,12,Galicia,0,0,0,0
2020-01-21,13,Madrid,0,0,3,0
2020-01-21,14,Murcia,0,0,0,0
2020-01-21,15,Navarra,0,0,0,0
2020-01-21,16,País Vasco,0,0,1,0
2020-01-21,17,La Rioja,0,0,0,0
2020-01-21,18,Ceuta,0,0,0,0
2020-01-21,19,Melilla,0,0,0,0
2020-01-22,00,No consta,0,0,0,0
2020-01-22,01,Andalucía,0,0,0,0
2020-01-22,02,Aragón,0,0,0,0
2020-01-22,03,Asturias,0,0,0,0
2020-01-22,04,Baleares,0,0,0,0
2020-01-22,05,Canarias,0,0,1,0
2020-01-22,06,Cantabria,0,0,0,0
2020-01-22,07,Castilla y León,0,0,0,0
2020-01-22,08,Castilla La Mancha,0,0,0,0
2020-01-22,09,Cataluña,0,0,1,0
2020-01-22,10,C. Valenciana,0,0,2,0
2020-01-22,11,Extremadura,0,0,0,0
2020-01-22,12,Galicia,0,0,0,0
2020-01-22,13,Madrid,0,0,2,0
2020-01-22,14,Murcia,0,0,0,0
2020-01-22,15,Navarra,0,0,1,0
2020-01-22,16,País Vasco,0,0,0,0
2020-01-22,17,La Rioja,0,0,0,0
2020-01-22,18,Ceuta,0,0,0,0
2020-01-22,19,Melilla,0,0,0,0
2020-01-23,00,No consta,0,0,0,0
2020-01-23,01,Andalucía,0,0,1,0
2020-01-23,02,Aragón,0,0,0,0
2020-01-23,03,Asturias,0,0,0,0
2020-01-23,04,Baleares,0,0,0,0
2020-01-23,05,Canarias,0,0,0,0
2020-01-23,06,Cantabria,0,0,0,0
2020-01-23,07,Castilla y León,0,0,1,0
2020-01-23,08,Castilla La Mancha,0,0,0,0
2020-01-23,09,Cataluña,0,0,1,0
2020-01-23,10,C. Valenciana,0,0,0,0
2020-01-23,11,Extremadura,0,0,0,0
2020-01-23,12,Galicia,0,0,1,0
2020-01-23,13,Madrid,0,0,4,0
2020-01-23,14,Murcia,0,0,0,0
2020-01-23,15,Navarra,0,0,0,0
2020-01-23,16,País Vasco,0,0,0,0
2020-01-23,17,La Rioja,0,0,0,0
2020-01-23,18,Ceuta,0,0,0,0
2020-01-23,19,Melilla,0,0,0,0
2020-01-24,00,No consta,0,0,0,0
2020-01-24,01,Andalucía,0,0,1,0
2020-01-24,02,Aragón,0,0,0,0
2020-01-24,03,Asturias,0,0,0,0
2020-01-24,04,Baleares,0,0,0,0
2020-01-24,05,Canarias,0,0,0,0
2020-01-24,06,Cantabria,0,0,0,0
2020-01-24,07,Castilla y León,0,0,0,0
2020-01-24,08,Castilla La Mancha,0,0,0,0
2020-01-24,09,Cataluña,0,0,6,0
2020-01-24,10,C. Valenciana,0,0,1,0
2020-01-24,11,Extremadura,0,0,0,0
2020-01-24,12,Galicia,0,0,1,0
2020-01-24,13,Madrid,0,0,5,1
2020-01-24,14,Murcia,0,0,0,0
2020-01-24,15,Navarra,0,0,1,0
2020-01-24,16,País Vasco,0,0,0,0
2020-01-24,17,La Rioja,0,0,0,0
2020-01-24,18,Ceuta,0,0,0,0
2020-01-24,19,Melilla,0,0,0,0
2020-01-25,00,No consta,0,0,0,0
2020-01-25,01,Andalucía,0,0,0,0
2020-01-25,02,Aragón,0,0,0,0
2020-01-25,03,Asturias,0,0,0,0
2020-01-25,04,Baleares,0,0,0,0
2020-01-25,05,Canarias,0,0,0,0
2020-01-25,06,Cantabria,0,0,0,0
2020-01-25,07,Castilla y León,0,0,0,0
2020-01-25,08,Castilla La Mancha,0,0,0,0
2020-01-25,09,Cataluña,0,0,0,0
2020-01-25,10,C. Valenciana,0,0,0,0
2020-01-25,11,Extremadura,0,0,0,0
2020-01-25,12,Galicia,0,0,0,0
2020-01-25,13,Madrid,0,0,3,0
2020-01-25,14,Murcia,0,0,0,0
2020-01-25,15,Navarra,0,0,0,0
2020-01-25,16,País Vasco,0,0,0,0
2020-01-25,17,La Rioja,0,0,0,0
2020-01-25,18,Ceuta,0,0,0,0
2020-01-25,19,Melilla,0,0,0,0
2020-01-26,00,No consta,0,0,0,0
2020-01-26,01,Andalucía,0,0,0,0
2020-01-26,02,Aragón,0,0,0,0
2020-01-26,03,Asturias,0,0,0,0
2020-01-26,04,Baleares,0,0,0,0
2020-01-26,05,Canarias,0,0,0,0
2020-01-26,06,Cantabria,0,0,0,0
2020-01-26,07,Castilla y León,0,0,0,0
2020-01-26,08,Castilla La Mancha,0,0,0,0
2020-01-26,09,Cataluña,0,0,0,0
2020-01-26,10,C. Valenciana,0,0,1,0
2020-01-26,11,Extremadura,0,0,0,0
2020-01-26,12,Galicia,0,0,1,0
2020-01-26,13,Madrid,0,0,1,0
2020-01-26,14,Murcia,0,0,0,0
2020-01-26,15,Navarra,0,0,0,0
2020-01-26,16,País Vasco,0,0,0,0
2020-01-26,17,La Rioja,0,0,0,0
2020-01-26,18,Ceuta,0,0,0,0
2020-01-26,19,Melilla,0,0,0,0
2020-01-27,00,No consta,0,0,1,0
2020-01-27,01,Andalucía,0,0,1,0
2020-01-27,02,Aragón,0,0,1,0
2020-01-27,03,Asturias,0,0,0,0
2020-01-27,04,Baleares,0,0,0,0
2020-01-27,05,Canarias,0,0,0,0
2020-01-27,06,Cantabria,0,0,0,0
2020-01-27,07,Castilla y León,0,0,0,0
2020-01-27,08,Castilla La Mancha,0,0,0,0
2020-01-27,09,Cataluña,0,0,2,0
2020-01-27,10,C. Valenciana,0,0,0,0
2020-01-27,11,Extremadura,0,0,0,0
2020-01-27,12,Galicia,0,0,2,0
2020-01-27,13,Madrid,0,0,0,0
2020-01-27,14,Murcia,0,0,0,0
2020-01-27,15,Navarra,0,0,0,0
2020-01-27,16,País Vasco,0,0,0,0
2020-01-27,17,La Rioja,0,0,0,0
2020-01-27,18,Ceuta,0,0,0,0
2020-01-27,19,Melilla,0,0,0,0
2020-01-28,00,No consta,0,0,0,0
2020-01-28,01,Andalucía,0,0,2,0
2020-01-28,02,Aragón,0,0,0,0
2020-01-28,03,Asturias,0,0,0,0
2020-01-28,04,Baleares,0,0,0,0
2020-01-28,05,Canarias,0,0,0,0
2020-01-28,06,Cantabria,0,0,0,0
2020-01-28,07,Castilla y León,0,0,0,0
2020-01-28,08,Castilla La Mancha,0,0,0,0
2020-01-28,09,Cataluña,0,0,0,0
2020-01-28,10,C. Valenciana,0,0,2,0
2020-01-28,11,Extremadura,0,0,0,0
2020-01-28,12,Galicia,0,0,0,0
2020-01-28,13,Madrid,0,0,4,0
2020-01-28,14,Murcia,0,0,0,0
2020-01-28,15,Navarra,0,0,0,0
2020-01-28,16,País Vasco,0,0,0,0
2020-01-28,17,La Rioja,0,0,0,0
2020-01-28,18,Ceuta,0,0,0,0
2020-01-28,19,Melilla,0,0,0,0
2020-01-29,00,No consta,0,0,0,0
2020-01-29,01,Andalucía,0,0,2,0
2020-01-29,02,Aragón,0,0,0,0
2020-01-29,03,Asturias,0,0,0,0
2020-01-29,04,Baleares,0,0,0,0
2020-01-29,05,Canarias,0,0,1,0
2020-01-29,06,Cantabria,0,0,0,0
2020-01-29,07,Castilla y León,0,0,1,0
2020-01-29,08,Castilla La Mancha,0,0,0,0
2020-01-29,09,Cataluña,0,0,10,0
2020-01-29,10,C. Valenciana,0,0,0,0
2020-01-29,11,Extremadura,0,0,0,0
2020-01-29,12,Galicia,0,0,0,0
2020-01-29,13,Madrid,0,0,2,0
2020-01-29,14,Murcia,0,0,0,0
2020-01-29,15,Navarra,0,0,0,0
2020-01-29,16,País Vasco,0,0,0,0
2020-01-29,17,La Rioja,0,0,0,0
2020-01-29,18,Ceuta,0,0,0,0
2020-01-29,19,Melilla,0,0,0,0
2020-01-30,00,No consta,0,0,0,0
2020-01-30,01,Andalucía,0,0,1,0
2020-01-30,02,Aragón,0,0,0,0
2020-01-30,03,Asturias,0,0,1,0
2020-01-30,04,Baleares,0,0,0,0
2020-01-30,05,Canarias,0,0,1,0
2020-01-30,06,Cantabria,0,0,0,0
2020-01-30,07,Castilla y León,0,0,1,0
2020-01-30,08,Castilla La Mancha,0,0,0,0
2020-01-30,09,Cataluña,0,0,2,0
2020-01-30,10,C. Valenciana,0,0,1,0
2020-01-30,11,Extremadura,0,0,0,0
2020-01-30,12,Galicia,0,0,0,0
2020-01-30,13,Madrid,0,0,5,0
2020-01-30,14,Murcia,0,0,1,0
2020-01-30,15,Navarra,0,0,0,0
2020-01-30,16,País Vasco,0,0,0,0
2020-01-30,17,La Rioja,0,0,0,0
2020-01-30,18,Ceuta,0,0,0,0
2020-01-30,19,Melilla,0,0,0,0
2020-01-31,00,No consta,0,0,0,0
2020-01-31,01,Andalucía,0,0,0,0
2020-01-31,02,Aragón,0,0,0,0
2020-01-31,03,Asturias,0,0,0,0
2020-01-31,04,Baleares,0,0,0,0
2020-01-31,05,Canarias,1,0,0,0
2020-01-31,06,Cantabria,0,0,0,0
2020-01-31,07,Castilla y León,0,0,0,0
2020-01-31,08,Castilla La Mancha,0,0,0,0
2020-01-31,09,Cataluña,0,0,6,0
